date,stock_id,open,close,high,low,volume,amount,amplitude,pct_change,change_amount,turnover,momentum_1m,momentum_3m,momentum_6m,volume_ma20,volume_momentum,historical_volatility,volatility_regime,volatility_z_score,atr,atr_ratio,hurst_exponent,skewness,kurtosis,ma5,ma10,ma20,ma60,macd,singal_line,macd_hist,rsi,bb_middle,bb_upper,bb_lower,volume_ma5,volume_ratio,price_momentum,price_acceleration,daily_return,volatility_5d,volatility_20d
2024-11-07,600519,1510.98,1597.66,1602.02,1510.82,74739,12074951757.0,6.0,5.14,78.14,0.59,,,,,,,0,,,,,,,,,,,0,0,0,,,,,,,,,,,
2024-11-08,600519,1609.41,1558.49,1615.63,1549.53,60771,9885645907.0,4.14,-2.45,-39.17,0.48,,,,,,,0,,,,,,,,,,,-3.12467236,-0.62493447,-2.49973789,,,,,,,,,-0.02451711,,
2024-11-11,600519,1538.52,1546.53,1558.47,1515.71,43854,6957095385.0,2.74,-0.77,-11.96,0.35,,,,,,,0,,,,,,,,,,,-6.49124277,-1.79819613,-4.69304663,,,,,,,,,-0.00767409,,
2024-11-12,600519,1537.52,1525.72,1571.52,1522.47,49223,7844798676.0,3.17,-1.35,-20.81,0.39,,,,,,,0,,,,,,,,,,,-10.71495185,-3.58154728,-7.13340458,,,,,,,,,-0.01345593,,
2024-11-13,600519,1516.52,1527.02,1535.18,1509.8,29125,4594445032.0,1.66,0.09,1.3,0.23,,,,,,,0,,,,,,,1551.084,,,,-13.79831422,-5.62490066,-8.17341356,,,,,51542.4,0.56506876,,,0.00085206,,
2024-11-14,600519,1518.52,1522.32,1542.97,1514.17,29248,4617144097.0,1.89,-0.31,-4.7,0.23,,,,,,,0,,,,,,,1536.016,,,,-16.431737,-7.78626793,-8.64546907,,,,,42444.2,0.68909297,-0.04715647,,-0.00307789,0.15732541,
2024-11-15,600519,1517.52,1507.52,1532.32,1501.52,33761,5295326892.0,2.02,-0.97,-14.8,0.27,,,,,,,0,,,,,,,1525.822,,,,-19.48833049,-10.12668044,-9.36165005,,,,,37042.2,0.91141995,-0.03270473,0.01445173,-0.009722,0.08903942,
2024-11-18,600519,1510.52,1507.52,1524.51,1503.52,27092,4237197499.0,1.39,0.0,0.0,0.22,,,,,,,0,,,,,,,1518.02,,,,-21.66100823,-12.433546,-9.22746223,,,,,33689.8,0.80416031,-0.02522421,0.00748052,0,0.09936115,
2024-11-19,600519,1513.52,1490.44,1517.89,1473.52,33266,5138831155.0,2.94,-1.13,-17.08,0.26,,,,,,,0,,,,,,,1510.964,,,,-24.47890666,-14.84261813,-9.63628852,,,,,30498.4,1.09074574,-0.02312351,0.0021007,-0.01132987,0.08863903,
2024-11-20,600519,1491.52,1493.33,1502.49,1479.82,21345,3292675257.0,1.52,0.19,2.89,0.17,,,,,,,0,,,,,,,1504.226,1527.655,,,-26.17715862,-17.10952623,-9.06763239,,,,,28942.4,0.73749931,-0.02206258,0.00106093,0.00193902,0.09311678,
2024-11-21,600519,1492.39,1493.65,1497.51,1480.52,18262,2810933515.0,1.14,0.02,0.32,0.15,,,,,,,0,,,,,,,1498.492,1517.254,,,-27.18385565,-19.12439211,-8.05946353,,,,,26745.2,0.68281411,-0.0188331,0.00322948,0.00021429,0.09890017,
2024-11-22,600519,1489.67,1456.34,1496.29,1456.34,33436,5107288992.0,2.67,-2.5,-37.31,0.27,,,,,,,0,,,,,,,1488.256,1507.039,,,-30.63908716,-21.42733112,-9.21175603,,,,,26680.2,1.25321399,-0.0339498,-0.0151167,-0.02497908,0.18148466,
2024-11-25,600519,1459.52,1447.09,1480.52,1445.19,33186,5011136234.0,2.43,-0.64,-9.25,0.26,,,,,,,0,,,,,,,1476.17,1497.095,,,-33.73490572,-23.88884604,-9.84605968,,,,,27899,1.189505,-0.0400857,-0.00613591,-0.00635154,0.17176441,
